Kanji,Português,On,Kun
一,um,"イチ,イツ",ひとつ
二,dois,ニ,"ジ,ふたつ"
三,três,サン,みっつ
四,quatro,シ,よっつ
五,cinco,ゴ,いつつ 
六,seis,ロク,むっつ
七,sete,シチ,ななつ
八,oito,ハチ,やつ
九,nove,"ク,キュウ",ここのつ
十,dez,ジュウ,とう
百,cem,ヒャク,もも
千,mil,セン,ち
上,sobre,ジョウ,うえ
下,sob,"カ,ゲ",した
左,esquerda,サ,ひだり
右,direita,"ウ,ユウ",みぎ
中,"dentro,meio",チュウ,なか
大,grande,ダイ,おおきい
小,pequeno,ショウ,ちいさい
月,"mês, lua","ガツ,ゲツ",つき
日,dia,ニチ,ひ
年,ano,ネン,とし
早,cedo,ソウ,はやい
木,árvore,モク,き
林,floresta,リン,はやし
山,montanha,サン,やま
川,rio,セン,かわ
土,solo,ド,つち
空,céu,クウ,そら
田,campo de arroz,デン,た
天,firmamento,テン,あま
生,vida,セイ,いきる
花,flor,カ,はな
草,grama,ソウ,くさ
虫,inseto,チュウ,むし
犬,cão,ケン,いぬ
人,pessoa,"ジン,ニン",ひと
名,nome,"メイ,ミョウ",な
女,mulher,"ジョ,ニョ",おんな
男,homem,ダン,おとこ
子,criança,"シ,ス",こ
目,olho,モク,め
耳,ouvido,ジ,みみ
口,boca,コウ,くち
手,mão,シュ,て
足,"pé,perna",ソク,あし
見,ver,ケン,みる
音,som,オン,"ね,おと"
力,força,"リキ,リョク",ちから
気,espírito,キ,いき
円,"circulo, iene",エン,まる
入,entrar,ニュウ,"はい,る,いる"
出,sair,シュツ,でる
立,levantar,リツ,たつ
休,descansar,キュウ,やすむ
先,anterior,セン,さき
夕,noite,セキ,ゆう
本,livro,ホン,もと
文,escrita,"ブン, モン",ふみ
字,caractere,ジ,
学,estudo,ガク,まなぶ
校,escola,コウ,がこう
村,vila,ソン,むら
町,cidade,チョウ,まち
森,floresta,シン,もり
正,correto,セイ,"ただ.しい, まさ"
水,água,スイ,みず
火,fogo,カ,ひ
玉,bola,ギョク,たま
王,rei,オウ,きみ
石,pedra,セキ,いし
竹,bambu,チク,たけ
糸,"fio, linha",シ,いと
貝,concha,バイ,かい
車,veículo,シャ,くるま
金,"ouro,dinheiro",キン,"かね,かな"
雨,chuva,ウ,"あめ,あま"
赤,vermelho,セキ,あか
青,azul,"セイ,ショウ",あお
白,branco,ハク,"しろ,しら"
