Kanji,Português,On,Kun
一,um,"イチ,イツ",ひとつ
二,dois,ニ,"ジ,ふたつ"
三,três,サン,みっつ
四,quatro,シ,よっつ
五,cinco,ゴ,いつつ 
六,seis,ロク,むっつ
七,sete,シチ,ななつ
八,oito,ハチ,やつ
九,nove,"ク,キュウ",ここのつ
十,dez,ジュウ,とう
百,cem,ヒャク,もも
千,mil,セン,ち
上,sobre,ジョウ,うえ
下,sob,"カ,ゲ",した
左,esquerda,サ,ひだり
右,direita,"ウ,ユウ",みぎ
中,"dentro,meio",チュウ,なか
大,grande,ダイ,おおきい
小,pequeno,ショウ,ちいさい
月,"mês, lua","ガツ,ゲツ",つき
日,dia,ニチ,ひ
年,ano,ネン,とし
早,cedo,ソウ,はやい
木,árvore,モク,き
林,floresta,リン,はやし
山,montanha,サン,やま
川,rio,セン,かわ
土,solo,ド,つち
空,céu,クウ,そら
田,campo de arroz,デン,た
天,firmamento,テン,あま
生,vida,セイ,いきる
花,flor,カ,はな
草,grama,ソウ,くさ
虫,inseto,チュウ,むし
犬,cão,ケン,いぬ
人,pessoa,"ジン,ニン",ひと
名,nome,"メイ,ミョウ",な
女,mulher,"ジョ,ニョ",おんな
男,homem,ダン,おとこ
