Kanji,Português,On,Kun
数,"número, contável",スウ,かず
多,muito,タ,おおい
少,pouco,ショウ,"すくない, すこし"
万,dez mil,マン,よろず
半,metade,ハン,なかば
形,formato,ケイ,かたち
太,gordura,タイ,ふとい
細,magro,サイ,ほそい
広,amplo,コウ,ひろい
長,extenso,チョウ,ながい
点,ponto,テン,
丸,círculo,ガン,まる
交,mistura,コウ,まじわる
光,luz,コウ,ひかり
角,ângulo・canto,カク,"かど・つの・すみ"
計,medida,ケイ,はかる
直,"correto, direito","チョク, ジキ","ただち, なおす"
線,linha,セン,すじ
矢,flecha,シ,や
弱,fraco,ジャク,よわい
強,forte,キョウ,つよい
高,alto,コウ,たかい
同,similar,ドウ,おなじ
親,"figura paterna",シン,おや
母,mãe,ボ,"はは, かあ"
父,pai,フ,"ちち, とう"
姉,"irmã mais velha",シ,あね
兄,"irmão mais velho",ケイ,あに
弟,"irmão mais novo",テイ,おとうと
妹,"irmã mais nova",マイ,いもうと
自,"si próprio","ジ, シ",みずから
友,amigo,ユウ,とも
体,corpo,タイ,からだ
毛,cabelo,モウ,け
頭,cabeça,トウ,あたま
顔,face,ガン,かお
首,pescoço,シュ,くび
心,coração,シン,こころ
時,tempo,ジ,とき
曜,"dia da semana",ヨウ,ようび
朝,manhã,チョウ,あさ
昼,"período do dia",チュウ,ひる
夜,noite,ヤ,よる
分,"minuto, compreender","フン, ブン",わかる
週,semana,シュウ,-
春,primavera,シュン,はる
夏,verão,カ,なつ
秋,outono,シュウ,あき
冬,inverno,トウ,ふゆ
今,agora,コン,いま
新,novo,シン,あたらしい
古,velho,コ,ふるい
間,intervalo,"カン, ケン","ま, あいだ"
方,direção,ホウ,かた
北,norte,ホク,きた
南,sul,ナン,みなみ
東,leste,トウ,"ひがし, あずま"
西,oeste,"セイ, サイ",にし
遠,longe,エン,とおい
近,perto,キン,ちかい
前,"antes, defronte",ゼン,まえ
後,"depois, atrás","ゴ, コウ","のち, うしろ, あと, おくれる"
内,dentro,ナイ,うち
外,fora,"ガイ, ゲ","そと, ほか, はずす"
場,lugar,ジョウ,ば
地,chão,"チ, ジ",-
国,país,コク,くに
園,jardim,エン,その
谷,vale,コク,たに
野,campo,ヤ,の
原,"prado, campina",ゲン,はら
里,vilarejo,リ,さと
市,cidade,シ,いち
京,capital,"キョウ, ケイ",みやこ
風,vento,フウ,かぜ
雪,neve,セツ,ゆき
雲,nuvem,ウン,くも
池,lagoa,チ,いけ
海,mar,カイ,うみ
岩,rocha,ガン,いわ
