Kanji,Português,On,Kun
丁,bairro,"チョウ, テイ",ひのと
世,geração,"セイ, セ",よ
両,ambos,リョウ,-
主,mestre,シュ,"ぬし, おも"
乗,"montar, conduzir",ジョウ,のる
予,antemão,ヨ,-
事,coisa abstrata,ジ,こと
仕,servir,シ,つかえる
他,outro,タ,-
代,substituto,"ダイ, タイ","かわる, よ"
住,morar,ジュウ,すむ
使,utilidade,シ,つかう
係,comandante,ケイ,"かかり, かかる"
倍,dobro,バイ,-
全,inteiro,ゼン,まったく
具,ferramenta,グ,-
写,cópia,シャ,うつす
列,fila,レツ,-
助,ajuda,ジョ,たすける
勉,diligência,ベン,-
動,mover,ドウ,うごく
勝,ganhar,ショウ,かつ
化,mudar,カ,ばける
区,distrito,ク,-
医,doutor,イ,-
去,partir,"キョ, コ",さる
反,anti-,ハン,そる
取,pegar,シュ,とる
受,receber,ジュ,うける
号,"sinal, número",ゴウ,-
向,deparar-se,コウ,むかう
君,você,クン,きみ
味,sabor,ミ,"あじ, あじわう"
命,destino,メイ,いのち
和,harmonia,ワ,-
品,artigo,ヒン,しな
員,membro,イン,-
商,comércio,ショウ,-
問,pergunta,モン,"とう, とん"
坂,ladeira,-,さか
央,centro,オウ,-
始,iniciar,シ,はじめる
委,comitê,イ,ゆだねる
守,proteger,シュ,まもる
安,barato,アン,やすい
定,determinar,"テイ, ジョウ",さだめる
実,fruta,ジツ,"み, みのる"
客,convidado,キャク,-
宮,"templo xintoísta",キュウ,みや
宿,hospedaria,シュク,"やど, やどる"
寒,frio,カン,さむい
対,oposto,タイ,-
局,escritório,キョク,-
屋,telhado,オク,や
岸,litoral,ガン,きし
島,ilha,トウ,しま
州,estado,シュウ,-
帳,cortina,チョウ,-
平,"plano, liso","ヘイ, ビョウ","たいら, ひら"
幸,alegria,コウ,"さいわい, しあわせ"
度,grau,ド,-
庫,armazém,コ,-
庭,quintal,テイ,にわ
式,estilo,シキ,-
役,atuação,ヤク,-
待,esperar,タイ,まつ
急,apressar,キュウ,いそぐ
息,respirar,ソク,いき
悪,mau,アク,わるい
悲,triste,ヒ,かなしい
想,pensamento,ソウ,-
意,ideia,イ,-
感,sentir,カン,-
所,local,ショ,ところ
打,golpear,ダ,うつ
投,jogar,トウ,なげる
拾,recolher,-,ひろう
持,segurar,ジ,もつ
指,dedo,シ,"ゆび, さす"
放,liberar,ホウ,はなす
整,organizar,セイ,ととのえる
旅,viagem,リョ,たび
族,tribo,ゾク,-
昔,antigamente,-,むかし
昭,claro,ショウ,あきらか
暑,quente,ショ,あつい
暗,escuro,アン,くらい
